0.01,0.0003,-0.875,0,0,0,0,0
0.01,0.0014,-0.875,0.001,0.09,7.8376,7.8376,0
0.01,0.0031,-0.875,0.0028,0.1722,8.2251,8.2251,0
0.01,0.0055,-0.875,0.0052,0.271,11.0975,11.0975,0
0.01,0.0093,-0.875,0.009,0.3708,9.7764,9.7764,0
0.01,0.0138,-0.875,0.0134,0.4736,10.873,10.873,0
0.01,0.0196,-0.875,0.0193,0.576,10.087,10.087,0
0.01,0.0265,-0.875,0.0262,0.6817,10.4847,10.4847,0
0.01,0.0344,-0.875,0.0341,0.7869,10.4728,10.4728,0
0.01,0.0433,-0.875,0.043,0.8917,10.4665,10.4665,0
0.01,0.0533,-0.875,0.0529,0.9962,10.4628,10.4628,0
0.01,0.0642,-0.875,0.0639,1.1004,10.4605,10.4605,0
0.01,0.0762,-0.875,0.0759,1.2045,10.4592,10.4592,0
0.01,0.0892,-0.875,0.0889,1.3084,10.4583,10.4583,0
0.01,0.1032,-0.875,0.1029,1.4121,10.4578,10.4578,0
0.01,0.1186,-0.875,0.1182,1.5168,10.3452,10.3452,0
0.01,0.1346,-0.875,0.1343,1.6213,10.5797,10.5797,0
0.01,0.1519,-0.875,0.1516,1.7255,10.3571,10.3571,0
0.01,0.1703,-0.875,0.1699,1.8304,10.468,10.468,0
0.01,0.1896,-0.875,0.1893,1.9349,10.4665,10.4665,0
0.01,0.2099,-0.875,0.2096,2.0392,10.4654,10.4654,0
0.01,0.2312,-0.875,0.2309,2.1431,10.4646,10.4646,0
0.01,0.2538,-0.875,0.2535,2.2475,10.3876,10.3876,0
0.01,0.2774,-0.875,0.277,2.3524,10.4703,10.4703,0
0.01,0.3019,-0.875,0.3015,2.4568,10.4691,10.4691,0
0.01,0.3273,-0.875,0.327,2.5609,10.4682,10.4682,0
0.01,0.3541,-0.875,0.3537,2.6652,10.4033,10.4033,0
0.01,0.3817,-0.875,0.3814,2.7699,10.4718,10.4718,0
0.01,0.4103,-0.875,0.41,2.874,10.4709,10.4709,0
0.01,0.4402,-0.875,0.4398,2.9784,10.413,10.413,0
0.01,0.4709,-0.875,0.4706,3.0829,10.4735,10.4735,0
0.01,0.5029,-0.875,0.5026,3.1874,10.4195,10.4195,0
0.01,0.5358,-0.875,0.5355,3.292,10.4754,10.4754,0
0.01,0.5699,-0.875,0.5695,3.3967,10.4249,10.4249,0
0.01,0.6048,-0.875,0.6045,3.5012,10.4769,10.4769,0
0.01,0.641,-0.875,0.6406,3.6058,10.4295,10.4295,0
0.01,0.678,-0.875,0.6776,3.7102,10.4781,10.4781,0
0.01,0.7161,-0.875,0.7158,3.8146,10.4334,10.4334,0
0.01,0.7554,-0.875,0.7551,3.9192,10.4366,10.4366,0
0.01,0.7955,-0.875,0.7952,4.0237,10.4806,10.4806,0
0.01,0.8367,-0.875,0.8364,4.1279,10.4397,10.4397,0
0.01,0.8791,-0.875,0.8787,4.2324,10.4423,10.4423,0
0.01,0.9225,-0.875,0.9222,4.337,10.4446,10.4446,0
0.01,0.967,-0.875,0.9667,4.4416,10.4469,10.4469,0
0.01,1.0126,-0.875,1.0122,4.5463,10.4489,10.4489,0
0.01,1.0588,-0.875,1.0585,4.6507,10.4856,10.4856,0
0.01,1.1065,-0.875,1.1061,4.755,10.4171,10.4171,0
0.01,1.1551,-0.875,1.1548,4.8597,10.4543,10.4543,0
0.01,1.2047,-0.875,1.2044,4.9642,10.4559,10.4559,0
0.01,1.2553,-0.875,1.255,5.0686,10.4574,10.4574,0
0.01,1.3072,-0.875,1.3068,5.1731,10.4284,10.4284,0
0.01,1.36,-0.875,1.3596,5.2777,10.4616,10.4616,0
0.01,1.4137,-0.875,1.4133,5.3821,10.4628,10.4628,0
0.01,1.4686,-0.875,1.4682,5.4865,10.4356,10.4356,0
0.01,1.5243,-0.875,1.524,5.5909,10.4663,10.4663,0
0.01,1.5815,-0.875,1.5812,5.6955,10.4137,10.4137,0
0.01,1.6393,-0.875,1.6389,5.8,10.4971,10.4971,0
0.01,1.6984,-0.875,1.698,5.9043,10.4191,10.4191,0
0.01,1.7586,-0.875,1.7582,6.009,10.4484,10.4484,0
0.01,1.8195,-0.875,1.8192,6.1123,10.3585,10.3585,0
0.01,1.8812,-0.875,1.8808,6.15,3.7637,3.7637,0
0.01,1.9427,-0.875,1.9423,6.15,0,0,0
0.01,2.0041,-0.875,2.0037,6.15,0,0,0
0.01,2.0656,-0.875,2.0652,6.15,0,0,0
0.01,2.1272,-0.875,2.1268,6.15,0,0,0
0.01,2.1886,-0.875,2.1883,6.15,0,0,0
0.01,2.2502,-0.875,2.2498,6.15,0,0,0
