0.01,0.0175,0.8748,0,0,0,0,-1.1282
0.01,0.0181,0.8748,0.0006,0.0574,5.7136,5.7136,-1.1263
0.01,0.019,0.8748,0.0014,0.0855,2.8089,2.8089,-1.1232
0.01,0.0204,0.8748,0.0029,0.1429,5.7136,5.7136,-1.1181
0.01,0.0224,0.8747,0.0049,0.1993,5.6179,5.6179,-1.1106
0.01,0.025,0.8747,0.0074,0.2556,5.6177,5.6177,-1.1005
0.01,0.0281,0.8746,0.0106,0.312,5.6173,5.6173,-1.0879
0.01,0.0318,0.8746,0.0143,0.3683,5.6168,5.6168,-1.0727
0.01,0.036,0.8745,0.0185,0.4247,5.6162,5.6162,-1.0551
0.01,0.0409,0.8744,0.0233,0.4809,5.6156,5.6156,-1.0349
0.01,0.0462,0.8743,0.0287,0.5372,5.6148,5.6148,-1.0121
0.01,0.0522,0.8742,0.0347,0.5935,5.6138,5.6138,-0.9869
0.01,0.0587,0.8741,0.0412,0.6497,5.6128,5.6128,-0.9591
0.01,0.0658,0.874,0.0482,0.7058,5.6117,5.6117,-0.9287
0.01,0.0731,0.8739,0.0556,0.76,5.618,5.618,-0.8965
0.01,0.0813,0.8737,0.0638,0.8171,5.6908,5.6908,-0.8617
0.01,0.09,0.8736,0.0725,0.8723,5.5122,5.5122,-0.8236
0.01,0.0993,0.8735,0.0818,0.9284,5.6067,5.6067,-0.7831
0.01,0.1092,0.8733,0.0916,0.9844,5.6049,5.6049,-0.7399
0.01,0.1195,0.8732,0.102,1.0404,5.6029,5.6029,-0.6942
0.01,0.1305,0.8731,0.113,1.0963,5.6009,5.6009,-0.6459
0.01,0.142,0.873,0.1245,1.1522,5.5987,5.5987,-0.595
0.01,0.1543,0.8729,0.1368,1.2095,5.6237,5.6237,-0.5409
0.01,0.1669,0.8728,0.1494,1.2639,5.4707,5.4707,-0.4842
0.01,0.18,0.8727,0.1625,1.3205,5.6897,5.6897,-0.4255
0.01,0.1937,0.8726,0.1762,1.376,5.5887,5.5887,-0.3641
0.01,0.2082,0.8725,0.1906,1.4329,5.6252,5.6252,-0.2995
0.01,0.2229,0.8724,0.2054,1.4868,5.4455,5.4455,-0.2323
0.01,0.2384,0.8724,0.2209,1.5444,5.7222,5.7222,-0.1624
0.01,0.2545,0.8724,0.237,1.5995,5.4838,5.4838,-0.0892
0.01,0.2708,0.8724,0.2533,1.654,5.5256,5.5256,-0.014
0.01,0.288,0.8724,0.2705,1.7113,5.72,5.72,0.064
0.01,0.3056,0.8724,0.2881,1.766,5.4711,5.4711,0.1452
0.01,0.3241,0.8725,0.3066,1.8229,5.6179,5.6179,0.2298
0.01,0.3427,0.8726,0.3252,1.8767,5.4092,5.4092,0.3172
0.01,0.3619,0.8728,0.3444,1.9329,5.6568,5.6568,0.4066
