0.01,-0.0025,0.7604,0,0,0,0,0.2223
0.01,-0.0017,0.7604,0.0008,0.0626,4.8907,4.8907,0.2236
0.01,-0.0009,0.7604,0.0016,0.0848,2.3772,2.3772,0.2254
0.01,0.0003,0.7604,0.0028,0.1305,4.9745,4.9745,0.2277
0.01,0.0018,0.7604,0.0044,0.1749,4.8706,4.8706,0.2308
0.01,0.0042,0.7604,0.0068,0.2235,4.5351,4.5351,0.2353
0.01,0.0066,0.7604,0.0092,0.2698,5.2458,5.2458,0.2407
0.01,0.0098,0.7605,0.0124,0.3169,4.6746,4.6746,0.247
0.01,0.0138,0.7605,0.0163,0.3675,4.6727,4.6727,0.2551
0.01,0.0178,0.7605,0.0203,0.4158,5.0657,5.0657,0.2641
0.01,0.0225,0.7605,0.0251,0.465,4.7963,4.7963,0.274
0.01,0.0273,0.7605,0.0298,0.5113,4.9762,4.9762,0.2849
0.01,0.0333,0.7606,0.0358,0.5614,4.7103,4.7103,0.297
0.01,0.0392,0.7606,0.0417,0.6091,4.8934,4.8934,0.3106
0.01,0.0455,0.7606,0.0481,0.6568,4.9405,4.9405,0.3246
0.01,0.0527,0.7607,0.0552,0.7053,4.7955,4.7955,0.34
0.01,0.0602,0.7607,0.0627,0.7534,4.8238,4.8238,0.3567
0.01,0.0685,0.7608,0.071,0.8032,4.8174,4.8174,0.3748
0.01,0.0768,0.7608,0.0793,0.8507,4.8779,4.8779,0.3939
0.01,0.0859,0.7609,0.0884,0.9,4.8817,4.8817,0.4138
0.01,0.0953,0.761,0.0979,0.948,4.8142,4.8142,0.4352
0.01,0.1052,0.7611,0.1077,0.9962,4.8697,4.8697,0.4574
0.01,0.1158,0.7612,0.1183,1.0453,4.8338,4.8338,0.4811
0.01,0.1264,0.7612,0.1289,1.0923,4.8355,4.8355,0.5057
0.01,0.1378,0.7614,0.1403,1.1412,4.8981,4.8981,0.5313
0.01,0.15,0.7615,0.1525,1.1901,4.7827,4.7827,0.5587
0.01,0.1621,0.7616,0.1646,1.2374,4.8211,4.8211,0.5871
0.01,0.175,0.7617,0.1776,1.2866,4.9044,4.9044,0.6164
0.01,0.1883,0.7619,0.1908,1.3344,4.7981,4.7981,0.6471
0.01,0.2023,0.762,0.2049,1.3836,4.8469,4.8469,0.6793
0.01,0.2164,0.7622,0.2189,1.4307,4.8007,4.8007,0.7125
0.01,0.2312,0.7624,0.2337,1.4797,4.9092,4.9092,0.7466
0.01,0.2467,0.7626,0.2493,1.5285,4.7891,4.7891,0.7826
0.01,0.2622,0.7629,0.2648,1.5756,4.7888,4.7888,0.8196
0.01,0.2785,0.7631,0.2811,1.6248,4.9108,4.9108,0.8577
0.01,0.2955,0.7634,0.2981,1.6735,4.7896,4.7896,0.8976
0.01,0.3125,0.7636,0.3151,1.7207,4.7771,4.7771,0.9386
0.01,0.3302,0.7639,0.3328,1.7699,4.911,4.911,0.9806
0.01,0.3483,0.7643,0.3509,1.8174,4.7782,4.7782,1.024
0.01,0.3671,0.7646,0.3697,1.8664,4.8483,4.8483,1.069
0.01,0.3863,0.765,0.3889,1.9142,4.7752,4.7752,1.1155
0.01,0.4058,0.7654,0.4084,1.9622,4.8336,4.8336,1.163
0.01,0.4261,0.7658,0.4286,2.011,4.8462,4.8462,1.2121
0.01,0.4466,0.7663,0.4492,2.0587,4.7675,4.7675,1.2626
0.01,0.4675,0.7668,0.4701,2.1066,4.8265,4.8265,1.3143
0.01,0.4892,0.7673,0.4918,2.1552,4.8429,4.8429,1.3675
0.01,0.5111,0.7678,0.5137,2.2027,4.759,4.759,1.4223
0.01,0.5334,0.7684,0.536,2.2504,4.8186,4.8186,1.4782
0.01,0.5564,0.769,0.559,2.2988,4.8387,4.8387,1.5357
0.01,0.5801,0.7697,0.5827,2.347,4.7743,4.7743,1.5953
0.01,0.6041,0.7704,0.6067,2.3946,4.7485,4.7485,1.6565
0.01,0.6284,0.7711,0.631,2.4425,4.8078,4.8078,1.7188
0.01,0.6534,0.7719,0.6561,2.491,4.8315,4.8315,1.7828
0.01,0.6787,0.7727,0.6814,2.5383,4.7375,4.7375,1.8485
0.01,0.7043,0.7735,0.707,2.5858,4.7978,4.7978,1.9153
0.01,0.7306,0.7745,0.7333,2.634,4.8247,4.8247,1.9838
0.01,0.7575,0.7754,0.7602,2.6818,4.7575,4.7575,2.0546
0.01,0.7848,0.7764,0.7875,2.7289,4.7231,4.7231,2.127
0.01,0.8126,0.7775,0.8154,2.7773,4.8167,4.8167,2.2012
0.01,0.8408,0.7786,0.8436,2.8244,4.715,4.715,2.2771
0.01,0.8696,0.7798,0.8724,2.8727,4.8107,4.8107,2.3548
0.01,0.8987,0.781,0.9015,2.9196,4.7061,4.7061,2.4343
0.01,0.9284,0.7824,0.9313,2.9677,4.8041,4.8041,2.5156
0.01,0.9584,0.7837,0.9613,3.0145,4.6966,4.6966,2.5988
0.01,0.989,0.7852,0.9919,3.0624,4.7968,4.7968,2.6838
0.01,1.0202,0.7867,1.0231,3.1099,4.7261,4.7261,2.7711
0.01,1.0516,0.7882,1.0546,3.1566,4.6821,4.6821,2.8604
0.01,1.0837,0.7899,1.0867,3.2045,4.7846,4.7846,2.9516
0.01,1.1159,0.7916,1.119,3.251,4.6705,4.6705,3.0447
0.01,1.1488,0.7934,1.152,3.2986,4.7757,4.7757,3.1398
0.01,1.1823,0.7953,1.1855,3.3457,4.7023,4.7023,3.2373
0.01,1.2163,0.7973,1.2195,3.3929,4.6972,4.6972,3.3375
0.01,1.2505,0.7993,1.2538,3.4393,4.6469,4.6469,3.4396
0.01,1.2853,0.8015,1.2887,3.4868,4.755,4.755,3.5439
0.01,1.3207,0.8038,1.3241,3.5337,4.6796,4.6796,3.6507
0.01,1.3565,0.8061,1.3601,3.5806,4.6735,4.6735,3.7603
0.01,1.3926,0.8086,1.3962,3.6266,4.6188,4.6188,3.872
0.01,1.4292,0.8111,1.4329,3.6739,4.7307,4.7307,3.9858
0.01,1.4663,0.8138,1.4701,3.7204,4.6526,4.6526,4.1025
0.01,1.5039,0.8166,1.5078,3.7669,4.6453,4.6453,4.2219
0.01,1.542,0.8194,1.546,3.8134,4.6376,4.6376,4.3442
0.01,1.5803,0.8224,1.5844,3.8589,4.5771,4.5771,4.4689
0.01,1.6193,0.8256,1.6236,3.9065,4.7456,4.7456,4.5964
0.01,1.6585,0.8288,1.6629,3.9512,4.4854,4.4854,4.7269
0.01,1.6985,0.8322,1.7031,3.9987,4.73,4.73,4.8605
0.01,1.7387,0.8357,1.7433,4.0431,4.4643,4.4643,4.9971
0.01,1.7795,0.8394,1.7844,4.0904,4.7131,4.7131,5.1368
0.01,1.8205,0.8432,1.8255,4.1346,4.4413,4.4413,5.2797
0.01,1.8623,0.8472,1.8675,4.1817,4.6947,4.6947,5.4257
0.01,1.9044,0.8513,1.9098,4.2265,4.4758,4.4758,5.5757
0.01,1.9469,0.8556,1.9525,4.2719,4.5394,4.5394,5.7289
0.01,1.9898,0.86,1.9957,4.3172,4.527,4.527,5.8855
0.01,2.0331,0.8646,2.0392,4.3622,4.514,4.514,6.0456
0.01,2.0771,0.8694,2.0834,4.408,4.5618,4.5618,6.2098
0.01,2.1214,0.8743,2.128,4.4521,4.4087,4.4087,6.3782
0.01,2.166,0.8794,2.1729,4.4968,4.4719,4.4719,6.5502
0.01,2.211,0.8847,2.2182,4.5412,4.4563,4.4563,6.7259
0.01,2.2566,0.8903,2.2641,4.5863,4.5054,4.5054,6.906
0.01,2.3024,0.896,2.3103,4.6297,4.3427,4.3427,7.0907
0.01,2.3489,0.9019,2.3572,4.6745,4.4728,4.4728,7.2799
0.01,2.3956,0.9081,2.4043,4.7175,4.3054,4.3054,7.4737
0.01,2.4428,0.9144,2.452,4.7619,4.4369,4.4369,7.6723
0.01,2.4903,0.921,2.4999,4.8045,4.2642,4.2642,7.8758
0.01,2.5383,0.9278,2.5484,4.8485,4.3975,4.3975,8.0843
0.01,2.5868,0.9349,2.5974,4.8915,4.2914,4.2914,8.2985
0.01,2.6355,0.9422,2.6466,4.9333,4.1949,4.1949,8.5179
0.01,2.6847,0.9498,2.6964,4.9766,4.3303,4.3303,8.7425
0.01,2.7342,0.9576,2.7466,5.0188,4.2182,4.2182,8.9733
0.01,2.7842,0.9657,2.7972,5.0607,4.1913,4.1913,9.2103
0.01,2.8346,0.9741,2.8483,5.1024,4.163,4.163,9.4537
0.01,2.8854,0.9828,2.8998,5.1438,4.1331,4.1331,9.7037
0.01,2.9365,0.9918,2.9516,5.1848,4.1016,4.1016,9.9603
0.01,2.9879,1.0011,3.0039,5.2255,4.0683,4.0683,10.2238
0.01,3.0396,1.0106,3.0565,5.2658,4.0332,4.0332,10.4943
0.01,3.0916,1.0205,3.1094,5.3056,3.9962,3.9962,10.772
0.01,3.1441,1.0308,3.1629,5.3461,4.042,4.042,11.0579
0.01,3.1969,1.0414,3.2167,5.3843,3.8206,3.8206,11.3521
0.01,3.2501,1.0524,3.2711,5.4239,3.9597,3.9597,11.6548
0.01,3.3034,1.0637,3.3256,5.4612,3.7286,3.7286,11.9663
0.01,3.3572,1.0754,3.3807,5.4999,3.8676,3.8676,12.2869
0.01,3.4113,1.0876,3.4361,5.5371,3.7174,3.7174,12.6176
0.01,3.4655,1.1001,3.4918,5.5727,3.569,3.569,12.9578
0.01,3.52,1.113,3.5478,5.6098,3.7072,3.7072,13.3079
0.01,3.5751,1.1264,3.6044,5.6463,3.6393,3.6393,13.6697
0.01,3.63,1.1401,3.6611,5.6657,1.9401,1.9401,14.0429
0.01,3.6843,1.1541,3.7171,5.6147,-5.1113,-5.1113,14.4236
