0.01,0.0001,0.875,0,0,0,0,0.0005
0.01,0.0007,0.875,0.0006,0.0609,6.0639,6.0639,0.0036
0.01,0.0022,0.875,0.0021,0.1442,8.2868,8.2868,0.0124
0.01,0.0046,0.875,0.0044,0.2374,9.2808,9.2808,0.0288
0.01,0.0079,0.875,0.0078,0.3298,9.2007,9.2007,0.0536
0.01,0.0121,0.875,0.012,0.422,9.1973,9.1973,0.0866
0.01,0.0171,0.875,0.017,0.5126,9.2226,9.2226,0.1273
0.01,0.0232,0.875,0.0231,0.6053,9.2204,9.2204,0.1764
0.01,0.0302,0.8751,0.0301,0.6967,9.1057,9.1057,0.2343
0.01,0.0381,0.8751,0.038,0.7886,9.1741,9.1741,0.3006
0.01,0.0468,0.8752,0.0467,0.879,9.1487,9.1487,0.3747
0.01,0.0565,0.8752,0.0564,0.9714,9.2405,9.2405,0.4573
0.01,0.0671,0.8754,0.067,1.0619,9.0613,9.0613,0.5488
0.01,0.0787,0.8755,0.0786,1.1541,9.1557,9.1557,0.6494
0.01,0.0911,0.8756,0.091,1.2436,9.0044,9.0044,0.7585
0.01,0.1045,0.8759,0.1044,1.3358,9.2108,9.2108,0.8763
0.01,0.1187,0.8761,0.1186,1.4256,9.0011,9.0011,1.0032
0.01,0.1339,0.8764,0.1338,1.5168,9.103,9.103,1.1394
0.01,0.1499,0.8768,0.1498,1.6063,8.9624,8.9624,1.285
0.01,0.1669,0.8772,0.1668,1.6971,9.0658,9.0658,1.44
0.01,0.1847,0.8777,0.1846,1.7861,8.9154,8.9154,1.6045
0.01,0.2036,0.8783,0.2035,1.8772,9.0705,9.0705,1.779
0.01,0.2232,0.879,0.2232,1.965,8.7831,8.7831,1.9639
0.01,0.2437,0.8797,0.2436,2.0537,8.9131,8.9131,2.1579
0.01,0.2651,0.8806,0.265,2.1437,8.993,8.993,2.3624
0.01,0.2874,0.8816,0.2874,2.2312,8.7429,8.7429,2.578
0.01,0.3106,0.8828,0.3106,2.32,8.8492,8.8492,2.8047
0.01,0.3346,0.8841,0.3346,2.4059,8.6111,8.6111,3.0423
0.01,0.3595,0.8855,0.3596,2.4944,8.8589,8.8589,3.2907
0.01,0.3853,0.8871,0.3854,2.5811,8.6526,8.6526,3.5514
0.01,0.4119,0.8889,0.4121,2.6664,8.5451,8.5451,3.8238
0.01,0.4393,0.8909,0.4396,2.7528,8.647,8.647,4.1081
0.01,0.4676,0.8931,0.4679,2.8379,8.5138,8.5138,4.4052
0.01,0.4968,0.8955,0.4972,2.9234,8.5296,8.5296,4.7156
0.01,0.5266,0.8982,0.5272,3.0057,8.2519,8.2519,5.039
0.01,0.5575,0.9011,0.5582,3.0917,8.5735,8.5735,5.3763
0.01,0.5891,0.9043,0.5899,3.1728,8.1139,8.1139,5.7282
0.01,0.6214,0.9077,0.6224,3.2548,8.2198,8.2198,6.0937
0.01,0.6545,0.9115,0.6558,3.3378,8.2974,8.2974,6.4743
0.01,0.6885,0.9156,0.69,3.4176,7.9755,7.9755,6.8709
0.01,0.7232,0.9201,0.725,3.4983,8.062,8.062,7.2836
0.01,0.7586,0.9249,0.7607,3.5764,7.8151,7.8151,7.7127
0.01,0.7947,0.9301,0.7972,3.6553,7.8959,7.8959,8.1587
0.01,0.8317,0.9357,0.8346,3.7333,7.7942,7.7942,8.6229
0.01,0.8693,0.9418,0.8727,3.8086,7.528,7.528,9.1057
0.01,0.9076,0.9483,0.9116,3.8846,7.5988,7.5988,9.6075
0.01,0.9465,0.9553,0.9511,3.9577,7.317,7.317,10.1287
0.01,0.9861,0.9628,0.9914,4.0323,7.4643,7.4643,10.6701
0.01,1.0264,0.9708,1.0325,4.1039,7.1589,7.1589,11.2336
0.01,1.0673,0.9794,1.0743,4.1743,7.0337,7.0337,11.8195
0.01,1.1086,0.9886,1.1166,4.2423,6.8133,6.8133,12.4277
0.01,1.1507,0.9984,1.1598,4.3128,7.0353,7.0353,13.0599
0.01,1.1932,1.0089,1.2036,4.3779,6.5102,6.5102,13.7179
0.01,1.2361,1.0199,1.2479,4.4414,6.3612,6.3612,14.4009
0.01,1.2797,1.0318,1.293,4.5072,6.5742,6.5742,15.1108
0.01,1.3236,1.0443,1.3387,4.5673,6.0129,6.0129,15.8496
0.01,1.3679,1.0576,1.385,4.6277,6.0287,6.0287,16.6177
0.01,1.4126,1.0717,1.4318,4.684,5.6432,5.6432,17.4159
0.01,1.4575,1.0866,1.4792,4.7415,5.7438,5.7438,18.2455
0.01,1.5028,1.1024,1.5271,4.7939,5.2412,5.2412,19.1086
